"species"	"x"	"y"
"Vaspis"	2.66047	48.46124
"Vaspis"	2.77748	48.34255
"Vaspis"	2.77655	48.34201
"Vaspis"	2.37138	48.48651
"Vaspis"	2.19572	48.47003
"Vaspis"	2.19513	48.46868
"Vaspis"	2.36233	48.48699
"Vaspis"	2.37094	48.51107
"Vaspis"	2.36982	48.51378
"Vaspis"	2.37014	48.48466
"Vaspis"	2.3683	48.48673
"Vaspis"	2.40011	48.52017
"Vaspis"	2.36988	48.4847
"Vaspis"	2.30518	48.45954
"Vaspis"	2.36989	48.51292
"Vaspis"	2.37235	48.48625
"Vaspis"	2.35889	48.48655
"Vaspis"	2.37023	48.5123
"Vaspis"	2.36954	48.4863
"Vaspis"	2.35882	48.4874
"Vaspis"	2.36934	48.51524
"Vaspis"	2.36834	48.48674
"Vaspis"	2.37018	48.48658
"Vaspis"	2.37091	48.48491
"Vaspis"	2.46246	48.5022
"Vaspis"	2.37105	48.48483
"Vaspis"	2.36953	48.48473
"Vaspis"	2.37006	48.39739
"Vaspis"	2.36351	48.48587
"Vaspis"	2.37105	48.48484
"Vaspis"	2.36967	48.39835
"Vaspis"	2.3661	48.48534
"Vaspis"	2.37172	48.3956
"Vaspis"	2.35978	48.48761
"Vaspis"	2.36723	48.48704
"Vaspis"	2.22552	48.48528
"Vaspis"	2.7777	48.34259
"Vaspis"	2.37206	48.48629
"Vaspis"	2.7887	48.34614
"Vaspis"	2.37103	48.48616
"Vaspis"	2.64376	48.44626
"Vaspis"	2.5359	48.36705
"Vaspis"	2.4621	48.5019
"Vaspis"	2.40004	48.51997
"Vaspis"	2.36765	48.48702
"Vaspis"	2.38955	48.43653
"Vaspis"	2.38949	48.43655
"Vaspis"	2.37221	48.48629
"Vaspis"	2.46202	48.50249
"Vaspis"	2.37171	48.48609
"Vaspis"	2.37019	48.51232
"Vaspis"	2.46212	48.50202
"Vaspis"	2.36224	48.48845
"Vaspis"	2.3721	48.48631
"Vaspis"	2.45784	48.50178
"Vaspis"	2.37083	48.48485
"Vaspis"	2.46235	48.50216
"Vaspis"	2.39461	48.48547
"Vaspis"	2.36731	48.49854
"Vaspis"	2.46214	48.50192
"Vaspis"	2.38946	48.43656
"Vaspis"	2.36197	48.49273
"Vaspis"	2.46213	48.50184
"Vaspis"	2.3723	48.48629
"Vaspis"	2.46216	48.50185
"Vaspis"	2.63197	48.26757
"Vaspis"	2.78676	48.3455
"Vaspis"	2.77714	48.34212
"Vaspis"	2.71741	48.2172
"Vaspis"	2.73144	48.35706
"Vaspis"	2.65899	48.40486
"Vaspis"	2.76589	48.18186
"Vaspis"	2.60694	48.29472
"Vaspis"	2.63397	48.21067
"Vaspis"	2.72497	48.43384
"Vaspis"	2.38191	48.3984
"Vaspis"	2.57409	48.39735
"Vaspis"	2.57331	48.39707
"Vaspis"	2.57309	48.39548
"Vaspis"	2.57335	48.37497
"Vaspis"	2.37177	48.48623
"Vaspis"	2.44169	48.42869
"Vaspis"	2.44373	48.42965
"Vaspis"	2.57158	48.39787
"Vaspis"	2.62975	48.40887
"Vaspis"	2.63077	48.40901
"Vaspis"	2.63007	48.40886
"Vaspis"	2.62945	48.40906
"Vaspis"	2.75729	48.16208
"Vaspis"	2.58809	48.30608
"Vaspis"	2.77799	48.34209
"Vaspis"	2.79239	48.34748
"Vaspis"	3.02919	48.48857
"Vaspis"	2.22544	48.48491
"Vaspis"	2.61951	48.40833
"Vaspis"	2.72298	48.42877
"Vaspis"	2.62083	48.40823
"Vaspis"	2.54012	48.36204
"Vaspis"	2.75026	48.34064
"Vaspis"	2.75605	48.23387
"Vaspis"	2.72096	48.21866
"Vaspis"	2.81932	48.3737
"Vaspis"	2.77583	48.34358
"Vaspis"	2.77304	48.32544
"Vaspis"	2.79721	48.4351
"Vaspis"	2.72501	48.43408
"Vaspis"	2.71659	48.21766
"Vaspis"	2.74203	48.26063
"Vaspis"	2.79337	48.34459
"Vaspis"	2.36892	48.48649
"Vaspis"	2.37268	48.48622
"Vaspis"	2.37091	48.48487
"Vaspis"	2.37177	48.48596
"Vaspis"	2.37003	48.48683
"Vaspis"	2.70312	48.18223
"Vaspis"	2.37168	48.48566
"Vaspis"	2.36997	48.48674
"Vaspis"	2.78406	48.34512
"Vaspis"	2.57504	48.39743
"Vaspis"	2.78822	48.34705
"Vaspis"	2.71637	48.21693
"Vaspis"	2.69189	48.41062
"Vaspis"	2.7173	48.21001
"Vaspis"	2.78278	48.34421
"Vaspis"	2.72312	48.21857
"Vaspis"	2.70384	48.20998
"Vaspis"	1.95647	48.67241
"Vaspis"	2.78713	48.34524
"Vaspis"	2.28185	48.43178
"Vaspis"	2.7854	48.33669
"Vaspis"	2.36997	48.48468
"Vaspis"	2.37203	48.48623
"Vaspis"	2.17947	48.76778
"Vaspis"	2.37758	48.52791
"Vaspis"	2.36988	48.48661
"Vaspis"	2.3691	48.48479
"Vaspis"	2.37084	48.48651
"Vaspis"	2.36913	48.48479
"Vaspis"	2.46216	48.50188
"Vaspis"	2.78959	48.34701
"Vaspis"	2.77959	48.34083
"Vaspis"	2.77697	48.34338
"Vaspis"	2.58741	48.39725
"Vaspis"	2.74193	48.26068
"Vaspis"	2.71686	48.21766
"Vaspis"	2.72318	48.21858
"Vaspis"	2.78788	48.33877
"Vaspis"	2.79102	48.34684
"Vaspis"	2.78733	48.34693
"Vaspis"	2.71659	48.21694
"Vaspis"	2.7179	48.21712
"Vaspis"	2.78642	48.33741
"Vaspis"	2.699	48.3109
"Vaspis"	2.34976	48.36995
"Vaspis"	2.70331	48.20703
"Vaspis"	2.74198	48.26088
"Vaspis"	1.84554	48.62828
"Vaspis"	2.7174	48.21703
"Vaspis"	2.73084	48.31669
"Vaspis"	2.70757	48.31647
"Vaspis"	2.59142	48.29697
"Vaspis"	2.7787	48.32984
"Vaspis"	2.1514	48.42567
"Vaspis"	2.78596	48.33711
"Vaspis"	2.7179	48.21721
"Vaspis"	2.52103	48.39743
"Vaspis"	2.78347	48.33659
"Vaspis"	2.19719	48.4431
"Vaspis"	2.8804	48.41246
"Vaspis"	2.36793	48.48612
"Vaspis"	2.47157	48.50375
"Vaspis"	2.75318	48.41521
"Vaspis"	2.84366	48.36144
"Vaspis"	2.71878	48.21869
"Vaspis"	2.77917	48.32754
"Vaspis"	2.71686	48.21685
"Vaspis"	2.71632	48.21694
"Vaspis"	2.78409	48.33612
"Vaspis"	2.71611	48.21665
"Vaspis"	2.48503	48.38843
"Vaspis"	2.75205	48.2729
"Vaspis"	2.7784	48.32614
"Vaspis"	2.72072	48.21894
